Left.Label.ID,Left.Label.Name,Right.Label.ID,Right.Label.Name
30,Left.Accumbens.Area,23,Right.Accumbens.Area
32,Left.Amygdala,31,Right.Amygdala
37,Left.Caudate,36,Right.Caudate
39,Left.Cerebellum.Exterior,38,Right.Cerebellum.Exterior
41,Left.Cerebellum.White.Matter,40,Right.Cerebellum.White.Matter
45,Left.Cerebral.White.Matter,44,Right.Cerebral.White.Matter
48,Left.Hippocampus,47,Right.Hippocampus
50,Left.Inf.Lat.Vent,49,Right.Inf.Lat.Vent
52,Left.Lateral.Ventricle,51,Right.Lateral.Ventricle
56,Left.Pallidum,55,Right.Pallidum
58,Left.Putamen,57,Right.Putamen
60,Left.Thalamus.Proper,59,Right.Thalamus.Proper
62,Left.Ventral.DC,61,Right.Ventral.DC
75,Left.Basal.Forebrain,76,Right.Basal.Forebrain
101,Left.ACgG.anterior.cingulate.gyrus,100,Right.ACgG.anterior.cingulate.gyrus
103,Left.AIns.anterior.insula,102,Right.AIns.anterior.insula
105,Left.AOrG.anterior.orbital.gyrus,104,Right.AOrG.anterior.orbital.gyrus
107,Left.AnG.angular.gyrus,106,Right.AnG.angular.gyrus
109,Left.Calc.calcarine.cortex,108,Right.Calc.calcarine.cortex
113,Left.CO.central.operculum,112,Right.CO.central.operculum
115,Left.Cun.cuneus,114,Right.Cun.cuneus
117,Left.Ent.entorhinal.area,116,Right.Ent.entorhinal.area
119,Left.FO.frontal.operculum,118,Right.FO.frontal.operculum
121,Left.FRP.frontal.pole,120,Right.FRP.frontal.pole
123,Left.FuG.fusiform.gyrus,122,Right.FuG.fusiform.gyrus
125,Left.GRe.gyrus.rectus,124,Right.GRe.gyrus.rectus
129,Left.IOG.inferior.occipital.gyrus,128,Right.IOG.inferior.occipital.gyrus
133,Left.ITG.inferior.temporal.gyrus,132,Right.ITG.inferior.temporal.gyrus
135,Left.LiG.lingual.gyrus,134,Right.LiG.lingual.gyrus
137,Left.LOrG.lateral.orbital.gyrus,136,Right.LOrG.lateral.orbital.gyrus
139,Left.MCgG.middle.cingulate.gyrus,138,Right.MCgG.middle.cingulate.gyrus
141,Left.MFC.medial.frontal.cortex,140,Right.MFC.medial.frontal.cortex
143,Left.MFG.middle.frontal.gyrus,142,Right.MFG.middle.frontal.gyrus
145,Left.MOG.middle.occipital.gyrus,144,Right.MOG.middle.occipital.gyrus
147,Left.MOrG.medial.orbital.gyrus,146,Right.MOrG.medial.orbital.gyrus
149,Left.MPoG.postcentral.gyrus.medial.segment,148,Right.MPoG.postcentral.gyrus.medial.segment
151,Left.MPrG.precentral.gyrus.medial.segment,150,Right.MPrG.precentral.gyrus.medial.segment
153,Left.MSFG.superior.frontal.gyrus.medial.segment,152,Right.MSFG.superior.frontal.gyrus.medial.segment
155,Left.MTG.middle.temporal.gyrus,154,Right.MTG.middle.temporal.gyrus
157,Left.OCP.occipital.pole,156,Right.OCP.occipital.pole
161,Left.OFuG.occipital.fusiform.gyrus,160,Right.OFuG.occipital.fusiform.gyrus
163,Left.OpIFG.opercular.part.of.the.inferior.frontal.gyrus,162,Right.OpIFG.opercular.part.of.the.inferior.frontal.gyrus
165,Left.OrIFG.orbital.part.of.the.inferior.frontal.gyrus,164,Right.OrIFG.orbital.part.of.the.inferior.frontal.gyrus
167,Left.PCgG.posterior.cingulate.gyrus,166,Right.PCgG.posterior.cingulate.gyrus
169,Left.PCu.precuneus,168,Right.PCu.precuneus
171,Left.PHG.parahippocampal.gyrus,170,Right.PHG.parahippocampal.gyrus
173,Left.PIns.posterior.insula,172,Right.PIns.posterior.insula
175,Left.PO.parietal.operculum,174,Right.PO.parietal.operculum
177,Left.PoG.postcentral.gyrus,176,Right.PoG.postcentral.gyrus
179,Left.POrG.posterior.orbital.gyrus,178,Right.POrG.posterior.orbital.gyrus
181,Left.PP.planum.polare,180,Right.PP.planum.polare
183,Left.PrG.precentral.gyrus,182,Right.PrG.precentral.gyrus
185,Left.PT.planum.temporale,184,Right.PT.planum.temporale
187,Left.SCA.subcallosal.area,186,Right.SCA.subcallosal.area
191,Left.SFG.superior.frontal.gyrus,190,Right.SFG.superior.frontal.gyrus
193,Left.SMC.supplementary.motor.cortex,192,Right.SMC.supplementary.motor.cortex
195,Left.SMG.supramarginal.gyrus,194,Right.SMG.supramarginal.gyrus
197,Left.SOG.superior.occipital.gyrus,196,Right.SOG.superior.occipital.gyrus
199,Left.SPL.superior.parietal.lobule,198,Right.SPL.superior.parietal.lobule
201,Left.STG.superior.temporal.gyrus,200,Right.STG.superior.temporal.gyrus
203,Left.TMP.temporal.pole,202,Right.TMP.temporal.pole
205,Left.TrIFG.triangular.part.of.the.inferior.frontal.gyrus,204,Right.TrIFG.triangular.part.of.the.inferior.frontal.gyrus
207,Left.TTG.transverse.temporal.gyrus,206,Right.TTG.transverse.temporal.gyrus
